_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,annotation,reasons,annotation_gold,date,id,reasons_gold,timestamp,url
1231308786,5/5/2017 11:10:14,2535874607,5/5/2017 10:41:40,false,imerit_india,1,20328370,IND,28,Kolkata,14.140.183.2,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/20328370/u0055004188239106126054023001208158191153175216002033062058129223253182081224115105111096019149084.png""}",,,4/27/17,1935940,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/1935940.png
1231308787,5/5/2017 10:21:53,2535799648,5/5/2017 09:18:20,false,imerit_india,1,35919056,IND,28,Kolkata,115.248.218.229,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/35919056/u0213238174190001026173053241253215121030143128163016012196203161072124119255022249144231099027106.png""}",,,4/27/17,1972126,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/1972126.png
1231308788,5/10/2017 09:18:38,2544900936,5/10/2017 08:44:30,false,imerit_india,1.0,35919056,IND,28,Kolkata,115.248.218.229,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/35919056/u0041155211211085244076031011068029078189194061140239172018028006015124018244000140237181235072188.png""}",,,4/27/17,1996092,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/1996092.png
1231308789,5/5/2017 10:40:36,2535831882,5/5/2017 09:28:13,false,imerit_india,1.0,20328370,IND,28,Kolkata,14.140.183.2,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/20328370/u0212091238198159229089206235003247219112251224142238043226141060047237033211123035162184215076171.png""}",,,4/27/17,2005404,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2005404.png
1231308790,5/5/2017 13:00:04,2536051098,5/5/2017 12:23:40,false,imerit_india,1.0,20328370,IND,28,Kolkata,118.102.244.250,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/20328370/u0035151195015180154068236220158217129001248016128107149109132056171120182067116057132175235086010.png""}",,,4/27/17,2014465,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2014465.png
1231308791,5/5/2017 15:05:44,2536267077,5/5/2017 13:55:09,false,imerit_india,1,35918747,IND,28,Kolkata,115.248.218.229,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/35918747/u0013246125006226031098050043137060208199165247053191085119092195130214103059033236075056126243075.png""}",,,4/27/17,2025335,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2025335.png
1231308792,5/5/2017 07:37:11,2535558790,5/5/2017 06:55:04,false,imerit_india,1,32274173,IND,28,Kolkata,115.248.218.229,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/32274173/u0201143124246000242131225141155047086151200221233039110129026046223111088230207157114120114146160.png""}",,,4/27/17,2047257,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2047257.png
1231308793,5/5/2017 07:59:02,2535591524,5/5/2017 07:20:19,false,imerit_india,1,35918936,IND,28,Kolkata,118.102.244.250,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/35918936/u0227038254245124198108050154016125113080086216204068194114019119065019243168213178012107146077115.png""}",,,4/27/17,2051899,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2051899.png
1231308794,5/5/2017 07:08:02,2535508707,5/5/2017 06:50:35,false,imerit_india,1,40349667,IND,28,Kolkata,14.140.183.2,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/40349667/u0029207219091054125156109126218046165168194002229107159128171094240094202186190141186201162052133.png""}",,,4/27/17,2053204,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2053204.png
1231308795,5/10/2017 02:26:20,2544634521,5/10/2017 01:13:09,false,imerit_india,1.0,29866354,IND,28,Kolkata,118.102.244.250,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/29866354/u0107067047208233205183099036034053086009100149096119204147083033250245119103216191146177254071057.png""}",,,4/27/17,2066503,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2066503.png
1231308796,5/5/2017 15:44:28,2536349281,5/5/2017 15:05:48,false,imerit_india,1.0,35918747,IND,28,Kolkata,115.248.218.229,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/35918747/u0090198145103038233111162190213085032142067101032133176102170084195051038195033021247146241087095.png""}",,,4/27/17,2088529,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2088529.png
1231308797,5/5/2017 11:23:53,2535897581,5/5/2017 10:21:18,false,imerit_india,1.0,29562340,IND,28,Kolkata,14.140.183.2,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/29562340/u0174160132023013109180169096150165098094028176121209006176182034044254205080040235001073223041122.png""}",,,4/27/17,2089390,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2089390.png
1231308798,5/5/2017 14:02:46,2536163978,5/5/2017 12:16:43,false,imerit_india,1.0,29562340,IND,28,Kolkata,118.102.244.250,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/29562340/u0178079218205094121167196099062082176071009165116051145010082232214069207114214093107102075054094.png""}",,,4/27/17,2092551,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2092551.png
1231308799,5/5/2017 08:40:15,2535653724,5/5/2017 08:06:45,false,imerit_india,1.0,29866354,IND,28,Kolkata,118.102.244.250,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/29866354/u0008122115036130255094150097067254069189212066013210186206180102031013088072173227169247105086115.png""}",,,4/27/17,2101610,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2101610.png
1231308800,5/5/2017 07:08:28,2535509178,5/5/2017 07:03:28,false,imerit_india,1,40349773,IND,28,Kolkata,14.140.183.2,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/40349773/u0167252163068231053145250217106163234097111163099204036023204186187129010054219022242210050200242.png""}",,,4/27/17,2110618,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2110618.png
1231308801,5/5/2017 15:15:17,2536284063,5/5/2017 14:28:24,false,imerit_india,1.0,29562994,IND,28,Kolkata,115.248.218.229,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/29562994/u0064231177151064083192020128073255168132078074231159065019105109195018164234118023128155083048093.png""}",,,4/27/17,2112502,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2112502.png
1231308802,5/9/2017 16:00:24,2543924900,5/9/2017 15:31:46,false,imerit_india,1.0,29562994,IND,28,Kolkata,14.140.183.2,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/29562994/u0008086166203036204103017103234234235085074117115108022205193229216185155083057118081075102028117.png""}",,,4/27/17,2119820,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2119820.png
1231308803,5/5/2017 16:04:58,2536388211,5/5/2017 15:34:58,false,imerit_india,1,38937119,IND,28,Kolkata,115.248.218.229,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/38937119/u0152029141150154148245229194249157023125057164074148238195200186152138011139094053088227095241162.png""}",,,4/27/17,2121307,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2121307.png
1231308804,5/5/2017 16:22:29,2536413354,5/5/2017 15:39:25,false,imerit_india,1.0,29562340,IND,28,Kolkata,118.102.244.250,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/29562340/u0239113223237065254188224096036218232055094200038075247157075255118063250013006113173243154130075.png""}",,,4/27/17,2128152,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2128152.png
1231308805,5/5/2017 14:39:00,2536224651,5/5/2017 14:14:07,false,imerit_india,1.0,20780216,IND,28,Kolkata,118.102.244.250,"{""url"":""https://s3.amazonaws.com/pichost/construe/1012011/20780216/u0020138074068112122079158089043233089001130008044028071020141161092128075030165039194003145055060.png""}",,,4/27/17,2129444,,18:03:42,https://s3-us-west-2.amazonaws.com/labeled-data/TRI_ANN/batch_000001/2129444.png
